Player,Historic Stats,Injury Probabilities,SeasonInjury,Projected Games Missed,Projected Points
"Allen Robinson, WR LAR",10||||||||||,Very High Risk,93%,2.8,239.2
"Jaylen Waddle, WR MIA",2||,Low Risk,43%,1.7,237.3
"Terry McLaurin, WR WAS",6||||||,Medium Risk,78%,2.1,236.2
"Jerry Jeudy, WR DEN",6||||||,High Risk,85%,2.7,234
"Diontae Johnson, WR PIT",6||||||,High Risk,84%,3.8,231.9
"Courtland Sutton, WR DEN",5|||||,Low Risk,47%,1.8,230.2
"D.K. Metcalf, WR SEA",5|||||,Very Low Risk,41%,1.9,229.4
"Marquise Brown, WR ARI",9|||||||||,Very High Risk,91%,3.6,228
"Rashod Bateman, WR BAL",2||,Very Low Risk,16%,0.3,226.3
"Chris Godwin, WR TB",7|||||||,Low Risk,58%,1.4,222.3
"Michael Thomas, WR NO",6||||||,High Risk,81%,1.9,217.3
"Adam Thielen, WR MIN",7|||||||,Medium Risk,67%,2.1,214.5
"JuJu Smith-Schuster, WR KC",13|||||||||||||,Very High Risk,91%,3.6,214
"Darnell Mooney, WR CHI",3|||,Medium Risk,79%,2.2,212.8
"Gabriel Davis, WR BUF",2||,Very Low Risk,12%,1,211.1
"Amon-Ra St. Brown, WR DET",3|||,Low Risk,58%,3.3,209.2
"Hunter Renfrow, WR LVR",3|||,Medium Risk,63%,1.5,207.7
"Tyler Lockett, WR SEA",5|||||,Low Risk,49%,1.5,207.1
"Christian Kirk, WR JAC",3|||,High Risk,84%,2.4,200.4
"Amari Cooper, WR CLE",14||||||||||||||,Low Risk,53%,1.4,199.1
"DeAndre Hopkins, WR ARI",14||||||||||||||,Low Risk,58%,2.7,192.2
"Elijah Moore, WR NYJ",2||,Very Low Risk,16%,0.6,191.9
"DeVonta Smith, WR PHI",6||||||,High Risk,89%,3.7,189
"Brandon Aiyuk, WR SF",4||||,Low Risk,51%,1.7,188.6
"Kadarius Toney, WR NYG",10||||||||||,High Risk,85%,4.4,186
"Marquez Valdes-Scantling, WR KC",7|||||||,Very Low Risk,17%,1.7,181.7
"Robert Woods, WR TEN",12||||||||||||,Very High Risk,91%,2.9,181.1
"Allen Lazard, WR GB",2||,Very Low Risk,15%,0.3,178.4
"Rondale Moore, WR ARI",4||||,High Risk,82%,4.3,172.1
"Russell Gage, WR TB",8||||||||,Medium Risk,70%,1.8,172
"Chase Claypool, WR PIT",5|||||,Very Low Risk,37%,2.5,171.5
"Tyler Boyd, WR CIN",3|||,Medium Risk,72%,2.2,171.5
"Julio Jones, WR TB",32||||||||||||||||||||||||||||||||,Very High Risk,91%,2.5,166.3
"D.J. Chark, WR DET",9|||||||||,High Risk,87%,3.6,165.6
"Jakobi Meyers, WR NE",1|,Very Low Risk,35%,0.9,164.5
"Robbie Anderson, WR CAR",4||||,High Risk,81%,2.6,164.2
"Parris Campbell, WR IND",9|||||||||,Very Low Risk,33%,1.5,157.5
"Marvin Jones, WR JAC",9|||||||||,High Risk,88%,2.3,156.9
"Corey Davis, WR NYJ",11|||||||||||,Very High Risk,91%,3.2,156
"Michael Gallup, WR DAL",5|||||,Medium Risk,78%,2.1,155.2
"Jarvis Landry, WR NO",9|||||||||,Medium Risk,69%,1.9,154.7
"Kenny Golladay, WR NYG",10||||||||||,High Risk,90%,3.3,153.3
"Mecole Hardman, WR KC",1|,Low Risk,49%,1.6,152.5
"Van Jefferson, WR LAR",6||||||,Low Risk,61%,1.9,151.3
"Nico Collins, WR HOU",3|||,Very Low Risk,16%,0.2,148.6
"DeVante Parker, WR NE",17|||||||||||||||||,High Risk,84%,2.6,146.3
"Curtis Samuel, WR WAS",7|||||||,Medium Risk,74%,2.2,143.8
"K.J. Hamler, WR DEN",6||||||,Very High Risk,91%,4.5,133.4
"Sammy Watkins, WR GB",21|||||||||||||||||||||,Very High Risk,94%,3.1,129.4
"Bryan Edwards, WR ATL",5|||||,Low Risk,50%,1.4,127.1
"Zay Jones, WR JAC",5|||||,Low Risk,49%,1.2,123.1
"Will Fuller, WR UNS",15|||||||||||||||,Very High Risk,93%,2.9,120.1
"Cedrick Wilson, WR MIA",2||,Medium Risk,71%,1.8,116.2
"Sterling Shepard, WR NYG",14||||||||||||||,Low Risk,61%,1.7,116.1
"Randall Cobb, WR GB",16||||||||||||||||,Very High Risk,94%,2.7,115.2
"Jamison Crowder, WR BUF",13|||||||||||||,High Risk,90%,3.5,111.3
"A.J. Green, WR ARI",14||||||||||||||,Low Risk,59%,2.4,109
"Kendrick Bourne, WR NE",0.00,Very Low Risk,11%,0.5,103.6
"Cole Beasley, WR UNS",5|||||,Low Risk,47%,1,99.2
"Nelson Agholor, WR NE",6||||||,Medium Risk,63%,1.6,97
"Odell Beckham Jr., WR UNS",17|||||||||||||||||,Low Risk,53%,1.7,92.7
"Laviska Shenault, WR CAR",4||||,Medium Risk,70%,3.5,92.6
"James Washington, WR DAL",6||||||,Very Low Risk,39%,1.4,87.3
"D'Wayne Eskridge, WR SEA",5|||||,Very Low Risk,33%,1.8,83.8
"Darius Slayton, WR NYG",5|||||,Medium Risk,66%,2.2,81.4
"Terrace Marshall, WR CAR",6||||||,Low Risk,58%,1.7,81
"Tre'Quan Smith, WR NO",8||||||||,Medium Risk,75%,2,73
