"RK","PLAYER NAME",TEAM,"POS","SOS SEASON","SOS PLAYOFFS","ECR VS. ADP"
"349","Sam Darnold",CAR,"QB41","0 out of 5 stars","0 out of 5 stars","-"
"350","William Fuller V",FA,"WR114","-","-","-"
"351","Greg Dulcich",DEN,"TE37","2 out of 5 stars","2 out of 5 stars","-"
"352","Brett Maher",DAL,"K25","3 out of 5 stars","1 out of 5 stars","-69"
"353","Duke Johnson Jr.",BUF,"RB107","4 out of 5 stars","3 out of 5 stars","-"
"354","Kylen Granson",IND,"TE38","1 out of 5 stars","2 out of 5 stars","-"
"355","Kyle Rudolph",TB,"TE39","3 out of 5 stars","3 out of 5 stars","-109"
"356","Gardner Minshew II",PHI,"QB42","0 out of 5 stars","0 out of 5 stars","-"
"357","Tyquan Thornton",NE,"WR115","4 out of 5 stars","4 out of 5 stars","-"
"358","Austin Seibert",DET,"K26","3 out of 5 stars","5 out of 5 stars","-92"
"359","Cairo Santos",CHI,"K27","3 out of 5 stars","0 out of 5 stars","-81"
"360","Andy Dalton",NO,"QB43","0 out of 5 stars","0 out of 5 stars","-"
"361","C.J. Uzomah",NYJ,"TE40","3 out of 5 stars","4 out of 5 stars","-92"
"362","Olamide Zaccheaus",ATL,"WR116","3 out of 5 stars","4 out of 5 stars","-"
"363","Detroit Lions",DET,"DST30","4 out of 5 stars","4 out of 5 stars","-55"
"364","Tyler Huntley",BAL,"QB44","0 out of 5 stars","0 out of 5 stars","-"
"365","Tommy Tremble",CAR,"TE41","3 out of 5 stars","2 out of 5 stars","-"
"366","Justice Hill",BAL,"RB108","3 out of 5 stars","4 out of 5 stars","-"
"367","Salvon Ahmed",MIA,"RB109","4 out of 5 stars","4 out of 5 stars","-"
"368","Tylan Wallace",BAL,"WR117","2 out of 5 stars","3 out of 5 stars","-"
"369","Dan Arnold",JAC,"TE42","4 out of 5 stars","5 out of 5 stars","-"
"370","Jerrion Ealy",KC,"RB110","3 out of 5 stars","3 out of 5 stars","-"
"371","Kylin Hill",GB,"RB111","3 out of 5 stars","2 out of 5 stars","-"
"372","DeeJay Dallas",SEA,"RB112","3 out of 5 stars","3 out of 5 stars","-24"
"373","Las Vegas Raiders",LV,"DST31","4 out of 5 stars","3 out of 5 stars","-109"
"374","Amari Rodgers",GB,"WR118","3 out of 5 stars","4 out of 5 stars","-"
"375","Marlon Mack",SF,"RB113","2 out of 5 stars","3 out of 5 stars","-148"
"376","Tutu Atwell",LAR,"WR119","3 out of 5 stars","2 out of 5 stars","-"
"377","Kevin Harris",NE,"RB114","4 out of 5 stars","3 out of 5 stars","-"
"378","Khalil Shakir",BUF,"WR120","3 out of 5 stars","3 out of 5 stars","-"
"379","Foster Moreau",LV,"TE43","2 out of 5 stars","2 out of 5 stars","-38"
"380","Josiah Deguara",GB,"TE44","2 out of 5 stars","2 out of 5 stars","-"
"381","Chase McLaughlin",IND,"K28","2 out of 5 stars","4 out of 5 stars","-"
"382","Case Keenum",BUF,"QB45","0 out of 5 stars","0 out of 5 stars","-"
"383","Deon Jackson",IND,"RB115","3 out of 5 stars","4 out of 5 stars","-"
