"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"128","Jalen Guyton",LAC,"3 out of 5 stars","3 out of 5 stars","36.0","-"
"129","Cole Beasley",TB,"4 out of 5 stars","4 out of 5 stars","36.8","-"
"130","Chris Conley",HOU,"4 out of 5 stars","4 out of 5 stars","34.5","-"
"131","Ihmir Smith-Marsette",CHI,"3 out of 5 stars","2 out of 5 stars","36.8","-"
"132","Antonio Brown",FA,"-","-","35.2","-"
"133","Trent Sherfield",MIA,"2 out of 5 stars","1 out of 5 stars","33.0","-"
"134","Quintez Cephus",DET,"3 out of 5 stars","4 out of 5 stars","33.0","-"
"135","Dee Eskridge",SEA,"4 out of 5 stars","4 out of 5 stars","33.6","-"
"136","Samori Toure",GB,"3 out of 5 stars","4 out of 5 stars","32.0","-"
"137","James Washington",DAL,"3 out of 5 stars","4 out of 5 stars","30.0","-"
"138","Jamal Agnew",JAC,"4 out of 5 stars","4 out of 5 stars","30.0","-"
"139","Travis Fulgham",FA,"-","-","30.0","-"
"140","Seth Williams",JAC,"4 out of 5 stars","4 out of 5 stars","30.4","-"
"141","Demarcus Robinson",BAL,"2 out of 5 stars","3 out of 5 stars","27.0","-"
"142","KhaDarel Hodge",ATL,"3 out of 5 stars","4 out of 5 stars","27.0","-"
"143","Dezmon Patmon",IND,"3 out of 5 stars","3 out of 5 stars","28.8","-"
"144","Anthony Schwartz",CLE,"3 out of 5 stars","4 out of 5 stars","28.8","-"
"145","Dyami Brown",WAS,"4 out of 5 stars","3 out of 5 stars","27.2","-"
"146","Laquon Treadwell",NE,"4 out of 5 stars","4 out of 5 stars","25.5","-"
"147","John Metchie III",HOU,"4 out of 5 stars","4 out of 5 stars","27.2","-"
"148","Kendall Hinton",DEN,"5 out of 5 stars","3 out of 5 stars","25.6","-"
"149","Tyrell Williams",FA,"-","-","25.6","-"
"150","Montrell Washington",DEN,"5 out of 5 stars","3 out of 5 stars","25.6","-"
"151","DeAndre Carter",LAC,"3 out of 5 stars","3 out of 5 stars","24.0","-"
"152","Gunner Olszewski",PIT,"4 out of 5 stars","5 out of 5 stars","24.0","-"
"153","T.Y. Hilton",FA,"-","-","24.0","-"
"154","Rashard Higgins",CAR,"3 out of 5 stars","2 out of 5 stars","21.0","-"
"155","Lance McCutcheon",LAR,"3 out of 5 stars","2 out of 5 stars","22.4","-"
"156","Damiere Byrd",ATL,"3 out of 5 stars","4 out of 5 stars","21.0","-"
"157","N'Keal Harry",CHI,"3 out of 5 stars","2 out of 5 stars","21.0","-"
"158","Denzel Mims",NYJ,"1 out of 5 stars","2 out of 5 stars","21.0","-"
"159","Ashton Dulin",IND,"3 out of 5 stars","3 out of 5 stars","21.0","-"
"160","Antoine Wesley",ARI,"2 out of 5 stars","3 out of 5 stars","20.8","-"
"161","Phillip Dorsett II",HOU,"4 out of 5 stars","4 out of 5 stars","19.5","-"
"162","Dez Fitzpatrick",TEN,"3 out of 5 stars","3 out of 5 stars","20.8","-"
